time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
3660681600.0,	21.47366561279249,	8.191486136067192,	0.015,	0.05,	0.2,	0.2,	400
3676460400.0,	21.47366561279249,	8.191486136067192,	0.01500016186487696,	0.050050873485797356,	0.20003358016365752,	0.20082034969113846,	400
3692239200.0,	21.47366561279249,	8.191486136067192,	0.015000381333757168,	0.05011957967154581,	0.20007988870206012,	0.20192533528191803,	400
3708018000.0,	21.47366561279249,	8.191486136067192,	0.015000569882750203,	0.05017823096207289,	0.20011966946420365,	0.20286624538347048,	400
3723796800.0,	21.47366561279249,	8.191486136067192,	0.015001004303851645,	0.05031299034219241,	0.20021665285932244,	0.20501775002375378,	400
3739575600.0,	21.47366561279249,	8.191486136067192,	0.015001511382710189,	0.050468541672083145,	0.20033290400740675,	0.2074858821917172,	400
3755354400.0,	21.47366561279249,	8.191486136067192,	0.015002118083085334,	0.050652301755344645,	0.2004766766861663,	0.21038051131670227,	400
3771133200.0,	21.47366561279249,	8.191486136067192,	0.01500318002777992,	0.050970356897315904,	0.2007560363573722,	0.21532940869725564,	400
3786912000.0,	21.47366561279249,	8.191486136067192,	0.015004547946811895,	0.05137019056840835,	0.2011458611482572,	0.2214517941656225,	400
3802690800.0,	21.47366561279249,	8.191486136067192,	0.015007211552215462,	0.0521353182669135,	0.20212978299482393,	0.23278717759747938,	400
3818469600.0,	21.47366561279249,	8.191486136067192,	0.015010810363385906,	0.053117563466607294,	0.203719285758634,	0.2467209010237864,	400
3834248400.0,	21.47366561279249,	8.191486136067192,	0.01501524543495509,	0.0542461565898986,	0.2059469915369603,	0.2619662478243964,	400
3850027200.0,	21.47366561279249,	8.191486136067192,	0.015021241487605363,	0.055672460513599836,	0.20958524435157935,	0.27998602180132554,	400
3865806000.0,	21.47366561279249,	8.191486136067192,	0.015029091259518713,	0.057383243616716935,	0.21502492827891184,	0.29998267098285375,	400
3881584800.0,	21.47366561279249,	8.191486136067192,	0.015039143687899676,	0.05933724442783507,	0.22227909538608798,	0.32108955101060466,	400
3897363600.0,	21.47366561279249,	8.191486136067192,	0.015051914836362501,	0.06148186540115303,	0.23094467540994384,	0.3426697465243071,	400
3913142400.0,	21.47366561279249,	8.191486136067192,	0.015070419722249932,	0.06420867295714076,	0.2438138136744815,	0.3673330370904687,	400
3928921200.0,	21.47366561279249,	8.191486136067192,	0.015096543721131249,	0.06728253461829954,	0.2582788485533841,	0.3933101067381628,	400
3944700000.0,	21.47366561279249,	8.191486136067192,	0.015132379673543897,	0.07041547412684927,	0.2716912030165077,	0.41891499140323735,	400
3960478800.0,	21.47366561279249,	8.191486136067192,	0.015180676347295705,	0.07350802953070643,	0.28382838122250964,	0.44346311441011244,	400
3976257600.0,	21.47366561279249,	8.191486136067192,	0.015204310385924118,	0.07561833244371559,	0.3020786820231991,	0.4520639930703213,	400
3992036400.0,	21.47366561279249,	8.191486136067192,	0.015264257332192685,	0.07883732849470401,	0.31987021078364974,	0.470726908553539,	400
4007815200.0,	21.47366561279249,	8.191486136067192,	0.015338518650574444,	0.08169644464921155,	0.3327247364705822,	0.4881541762043115,	400
4023594000.0,	21.47366561279249,	8.191486136067192,	0.015399435895785641,	0.08409447696068532,	0.3471778280130019,	0.4992864395282077,	400
4039372800.0,	21.47366561279249,	8.191486136067192,	0.015504726574249988,	0.08652542931459922,	0.35432004550203655,	0.5154340507892653,	400
4055151600.0,	21.47366561279249,	8.191486136067192,	0.015589859841223531,	0.08879444241801403,	0.36657020993595263,	0.5260791904744466,	400
4070930400.0,	21.47366561279249,	8.191486136067192,	0.01572513575453164,	0.09091946751075956,	0.3712013499551993,	0.5406063786024339,	400
4086709200.0,	21.47366561279249,	8.191486136067192,	0.01585259615566335,	0.09264036381543737,	0.3748781284332269,	0.5522809748580768,	400
